country,player_count,pop
Albania,0,2938428
Andorra,0,77072
Austria,1,8766201
Belarus,0,9433874
Belgium,3,11562784
Bosnia and Herz.,13,3501774
Bulgaria,1,6988739
Croatia,17,4140148
Czechia,4,10630589
Denmark,1,5775224
Estonia,1,1303798
Faeroe Is.,0,49692
Finland,2,5561389
France,22,65480710
Germany,25,82438639
Gibraltar,0,34879
Greece,8,11124603
Guernsey,0,63026
Hungary,1,9655361
Iceland,1,340566
Ireland,1,4847139
Isle of Man,0,85369
Italy,8,59216525
Jersey,0,100080
Kosovo,0,1734000
Latvia,6,1911108
Liechtenstein,0,38404
Lithuania,11,2864459
Luxembourg,1,596992
Macedonia,0,2103721
Malta,0,433245
Moldova,0,4029750
Monaco,0,39102
Montenegro,6,629355
Netherlands,6,17132908
Norway,1,5400916
Poland,4,38028278
Portugal,0,10254666
Romania,2,19483360
Russia,11,143895551
San Marino,0,33683
Serbia,21,8733407
Slovakia,1,5450987
Slovenia,10,2081900
Spain,16,46441049
Sweden,3,10053135
Switzerland,4,8608259
Ukraine,9,43795220
United Kingdom,11,66959016
Vatican,0,1000
Aland,0,29489
